Domain,Item,OutlookItem,Activity,OutlookActivity,OutlookActivityAdjustment,Emissions,OutlookEmissions,EFLag,GHG
GR,27,RI,5312,AH,1000,72255,EM_CH4,1,CH4
GR,27,RI,5312,AH,1000,72315,EM_CH4Eq,1,CH4_CO2Eq
