Domain,AreaCode,ItemCode,ElementCode,d.source,ItemName,ElementName,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GL,IDN,GC,EM_CO2,Outlook,Cropland,Emissions or CO2,Gigagram,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,291818.0187,294736.1986,297683.5604,300660.3959,303666.9999,306703.6698,309770.7063,312868.4135,315997.0974,319157.0686,322348.639,325572.1254,328827.8467,332116.1253
GL,IDN,GC,Emissions_CO2Eq,Outlook,Cropland,Emissions of all GHG in CO2 Equivalent,Gigagram,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,291818.0187,294736.1986,297683.5604,300660.3959,303666.9999,306703.6698,309770.7063,312868.4135,315997.0974,319157.0686,322348.639,325572.1254,328827.8467,332116.1253
GL,MYS,GC,EM_CO2,Outlook,Cropland,Emissions or CO2,Gigagram,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36956.02704,37140.80717,37326.5112,37513.10983,37700.68893,37889.20048,38078.65139,38269.04765,38460.39475,38652.69788,38845.96208,39040.19228,39235.39342,39431.5704
GL,MYS,GC,Emissions_CO2Eq,Outlook,Cropland,Emissions of all GHG in CO2 Equivalent,Gigagram,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36956.02704,37140.80717,37326.5112,37513.10983,37700.68893,37889.20048,38078.65139,38269.04765,38460.39475,38652.69788,38845.96208,39040.19228,39235.39342,39431.5704
GT,IDN,GV,EM_N2OEq,Outlook,Cultivation of Organic Soils,Emissions of N2O in CO2  Equivalent,Gigagram,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34940.75519,35290.1627,35643.06431,35999.49495,36359.4899,36723.08479,37090.31561,37461.21878,37835.83094,38214.18927,38596.33113,38982.29445,39372.11739,39765.83859
GT,IDN,GV,Emissions_CO2Eq,Outlook,Cultivation of Organic Soils,Emissions of all GHG in CO2 Equivalent,Gigagram,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34940.75519,35290.1627,35643.06431,35999.49495,36359.4899,36723.08479,37090.31561,37461.21878,37835.83094,38214.18927,38596.33113,38982.29445,39372.11739,39765.83859
GT,MYS,GV,EM_N2OEq,Outlook,Cultivation of Organic Soils,Emissions of N2O in CO2  Equivalent,Gigagram,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4341.675195,4363.38357,4385.200488,4407.122504,4429.159708,4451.30646,4473.563568,4495.931739,4518.411616,4541.00381,4563.708912,4586.527504,4609.460162,4632.507464
GT,MYS,GV,Emissions_CO2Eq,Outlook,Cultivation of Organic Soils,Emissions of all GHG in CO2 Equivalent,Gigagram,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4341.675195,4363.38357,4385.200488,4407.122504,4429.159708,4451.30646,4473.563568,4495.931739,4518.411616,4541.00381,4563.708912,4586.527504,4609.460162,4632.507464
